source,target,value
Slag treating,Slag granulation system - Circulating water pipeline - Operation monitoring,29
Slag treating,Slag granulation system - Water pump motor - Operation monitoring,41
Slag treating,Slag granulation system - Cooling tower - Operation monitoring,33
Hot blast supplying,Blast supply system - Expansion tank - Pressure control,19
Hot blast supplying,Blast supply system - Valve group - Hot blast control,10
Hot blast supplying,Hot blast supply system - Combustion air fan - Operation monitoring,48
Hot blast supplying,Hot blast supply system - Combustion air fan - System configuration,13
Hot blast supplying,Hot blast supply system - Hydraulic station - Operation monitoring,22
Hot blast supplying,Hot blast supply system - Hydraulic station - System configuration,12
Hot blast supplying,Hot blast supply system - Hot blast stove - Operation monitoring,58
Hot blast supplying,Hot blast supply system - Hot blast stove - System configuration,30
Hot blast supplying,Hot blast supply system - Hot blast stove - Stove switching operation monitoring,8
Hot blast supplying,Hot blast supply system - Combustion chamber - Operation monitoring,46
Hot blast supplying,Hot blast supply system - Combustion chamber - System configuration,71
Hot blast supplying,Hot blast supply system - Nitrogen main pipe - Operation monitoring,4
Gas & Dust treating,Gas system - Pressure equalization recoverer - Operation monitoring,54
Gas & Dust treating,Gas system - Pressure equalization recoverer - Tank body monitoring,16
Gas & Dust treating,Gas system - Pressure equalization recoverer - System configuration,31
Gas & Dust treating,Gas system - Purifier - Operation monitoring,20
Gas & Dust treating,Furnace top system - Dust recovery tank - Operation monitoring,15
Gas & Dust treating,Furnace top system - Ash discharge valve group - Mode control,6
Gas & Dust treating,Tapping system - Dust collector - System configuration,33
Gas & Dust treating,Tapping system - Dust collector - Operation monitoring,33
Equipment maintaining,Blast supply system - Tuyere equipment - Operation monitoring,5
Equipment maintaining,Environmental protection system - Monitoring instruments at various emission points - Operation monitoring,24
Equipment maintaining,Furnace baking system - Taphole - Operation monitoring,5
Equipment maintaining,Furnace baking system - Hot blast main pipe - Operation monitoring,2
Equipment maintaining,PLC Inspection system - Instruments & Meters - Operation monitoring,18
Equipment maintaining,Furnace baking system - Tuyere equipment - Operation monitoring,33
Cooling monitoring,Soft water circulation system - Flow monitoring instrument - Flow difference monitoring,14
Cooling monitoring,Soft water circulation system - Cooling stave - Operation monitoring,27
Cooling monitoring,Soft water circulation system - Return water pipeline - Operation monitoring,7
Cooling monitoring,Soft water circulation system - Water supply pipeline - Flow monitoring,14
Cooling monitoring,Hot blast valve cooling system - Cooling pipeline - Operation monitoring,19
Cooling monitoring,Hot blast valve cooling system - Cooling pipeline - System configuration,23
Cooling monitoring,Cooling system - Soft water return pipeline - Operation monitoring,27
Cooling monitoring,Cooling system - Soft water supply pipeline - Operation monitoring,23
Cooling monitoring,Cooling system - High-pressure industrial water pipeline - Operation monitoring,16
Burden feeding,Raw material system - Laboratory - Sinter performance testing,5
Burden feeding,Raw material system - Laboratory - Sinter composition detection,11
Burden feeding,Raw material system - Laboratory - Pellet performance testing,3
Burden feeding,Raw material system - Laboratory - Pellet composition detection,11
Burden feeding,Raw material system - Laboratory - Pulverized coal performance testing,5
Burden feeding,Raw material system - Laboratory - Pulverized coal composition detection,5
Burden feeding,Raw material system - Laboratory - Coke performance testing,7
Burden feeding,Raw material system - Laboratory - Coke composition detection,5
Burden feeding,Raw material system - Industrial camera - Pellet particle size recognition,9
Burden feeding,Raw material system - Industrial camera - Coke particle size recognition,8
Burden feeding,Raw material system - Industrial camera - Mixed ore particle size recognition,9
Burden feeding,Ore bin system - Hydraulic station - Operation monitoring,7
Burden feeding,Ore bin system - Airtight box - Operation monitoring,7
Burden feeding,Ore bin system - Ore hopper - Operation monitoring,17
Burden feeding,Ore bin system - Coke hopper - Operation monitoring,8
Burden feeding,Ore bin system - Regulating valve group - Charging mode control,15
Burden feeding,Charging system - Rotating chute - Operation monitoring,12
Burden feeding,Charging system - Stock rod - Operation monitoring,9
Burden feeding,Charging system - Hopper - Ore charging scheme configuration,37
Burden feeding,Charging system - Hopper - Coke charging scheme configuration,37
Burden feeding,Charging system - Industrial camera - Stock surface recognition,10
BF tapping,Tapping system - Hot metal ladle - Operation monitoring,5
BF tapping,Tapping system - Taphole - Operation monitoring,73
BF tapping,Tapping system - Laboratory - Hot metal composition detection,10
BF tapping,Tapping system - Laboratory - Slag composition detection,13
BF operating,Pulverized coal injection system - Coal injection pipeline - Operation monitoring,38
BF operating,Pulverized coal injection system - Coal injection pipeline - Pulverized coal flow control,7
BF operating,Gas system - Gas analyzer - Composition detection,7
BF operating,Furnace top system - Integrated terminal - Operation monitoring,33
BF operating,Furnace top system - Steam pipeline - Operation monitoring,5
BF operating,Furnace top system - Hydraulic station - Operation monitoring,39
BF operating,Furnace top system - Pressure valve group - Pressure control,16
BF operating,Furnace top system - Pressure regulator - Operation monitoring,4
BF operating,Furnace top system - Pressure regulator - System configuration,7
BF operating,Furnace top system - Ascension pipe - Operation monitoring,7
BF operating,Furnace top system - Airtight box - Operation monitoring,36
BF operating,Furnace top system - Throat cross temperature measuring device - Operation monitoring,30
BF operating,Furnace top system - Furnace top pressure monitor - Operation monitoring,5
BF operating,Furnace top system - Furnace top pressure valve group - Pressure control,10
BF operating,Furnace top system - Backblow valve group - Mode control,6
BF operating,Furnace top system - Main relief valve group - Operation monitoring,22
BF operating,Furnace top system - Water injection pipeline - Operation monitoring,5
BF operating,Furnace top system - Water injection valve group - Operation monitoring,12
BF operating,Furnace top system - Water injection valve group - System configuration,9
BF operating,Blast furnace system - Pressure monitor - Furnace body pressure difference monitoring,6
BF operating,Blast furnace system - Pressure monitor - Furnace body static pressure monitoring,17
BF operating,Blast furnace system - Production daily report - Theoretical material consumption calculation,9
BF operating,Blast furnace system - Production daily report - Operational material consumption monitoring,11
BF operating,Blast furnace system - Production daily report - Burden structure operational monitoring,21
BF operating,Blast furnace system - Production daily report - Key parameter operational monitoring,16
BF operating,Blast furnace system - Production daily report - Tuyere equipment operational monitoring,97
BF operating,Blast furnace system - Production daily report - Output index operational monitoring,5
BF operating,Blast furnace system - Production daily report - Charging system configuration,7
BF operating,Blast furnace system - Thermocouple - Furnace body cooling stave temperature monitoring,161
BF operating,Blast furnace system - Thermocouple - Furnace hearth side wall temperature monitoring,33
BF operating,Blast furnace system - Thermocouple - Furnace lining side wall temperature monitoring,63
BF operating,Blast furnace system - Integrated terminal - Operation monitoring,117
BF operating,Oxygen enrichment system - Oxygen enrichment pipeline - Operation monitoring,7
BF operating,Oxygen enrichment system - Regulating valve group - Flow control,11
BF operating,Blast supply system - Industrial camera - Tuyere status monitoring,2
Slag granulation system - Circulating water pipeline - Operation monitoring,Continuous time-series data,20
Slag granulation system - Circulating water pipeline - Operation monitoring,Discrete time-series data,8
Slag granulation system - Circulating water pipeline - Operation monitoring,Text data,1
Slag granulation system - Water pump motor - Operation monitoring,Continuous time-series data,40
Slag granulation system - Water pump motor - Operation monitoring,Text data,1
Slag granulation system - Cooling tower - Operation monitoring,Continuous time-series data,32
Slag granulation system - Cooling tower - Operation monitoring,Text data,1
Blast supply system - Expansion tank - Pressure control,Binary status data,3
Blast supply system - Expansion tank - Pressure control,Continuous time-series data,6
Blast supply system - Expansion tank - Pressure control,Controllable data,9
Blast supply system - Expansion tank - Pressure control,Text data,1
Blast supply system - Valve group - Hot blast control,Continuous time-series data,4
Blast supply system - Valve group - Hot blast control,Controllable data,5
Blast supply system - Valve group - Hot blast control,Text data,1
Hot blast supply system - Combustion air fan - Operation monitoring,Continuous time-series data,35
Hot blast supply system - Combustion air fan - Operation monitoring,Discrete time-series data,12
Hot blast supply system - Combustion air fan - Operation monitoring,Text data,1
Hot blast supply system - Combustion air fan - System configuration,Constraint data,12
Hot blast supply system - Combustion air fan - System configuration,Text data,1
Hot blast supply system - Hydraulic station - Operation monitoring,Binary status data,14
Hot blast supply system - Hydraulic station - Operation monitoring,Continuous time-series data,7
Hot blast supply system - Hydraulic station - Operation monitoring,Text data,1
Hot blast supply system - Hydraulic station - System configuration,Binary status data,5
Hot blast supply system - Hydraulic station - System configuration,Constraint data,6
Hot blast supply system - Hydraulic station - System configuration,Text data,1
Hot blast supply system - Hot blast stove - Operation monitoring,Binary status data,8
Hot blast supply system - Hot blast stove - Operation monitoring,Continuous time-series data,40
Hot blast supply system - Hot blast stove - Operation monitoring,Discrete time-series data,9
Hot blast supply system - Hot blast stove - Operation monitoring,Text data,1
Hot blast supply system - Hot blast stove - System configuration,Binary status data,11
Hot blast supply system - Hot blast stove - System configuration,Constraint data,18
Hot blast supply system - Hot blast stove - System configuration,Text data,1
Hot blast supply system - Hot blast stove - Stove switching operation monitoring,Continuous time-series data,7
Hot blast supply system - Hot blast stove - Stove switching operation monitoring,Text data,1
Hot blast supply system - Combustion chamber - Operation monitoring,Binary status data,3
Hot blast supply system - Combustion chamber - Operation monitoring,Continuous time-series data,42
Hot blast supply system - Combustion chamber - Operation monitoring,Text data,1
Hot blast supply system - Combustion chamber - System configuration,Constraint data,70
Hot blast supply system - Combustion chamber - System configuration,Text data,1
Hot blast supply system - Nitrogen main pipe - Operation monitoring,Continuous time-series data,3
Hot blast supply system - Nitrogen main pipe - Operation monitoring,Text data,1
Gas system - Pressure equalization recoverer - Operation monitoring,Continuous time-series data,53
Gas system - Pressure equalization recoverer - Operation monitoring,Text data,1
Gas system - Pressure equalization recoverer - Tank body monitoring,Binary status data,11
Gas system - Pressure equalization recoverer - Tank body monitoring,Discrete time-series data,4
Gas system - Pressure equalization recoverer - Tank body monitoring,Text data,1
Gas system - Pressure equalization recoverer - System configuration,Discrete time-series data,15
Gas system - Pressure equalization recoverer - System configuration,Constraint data,15
Gas system - Pressure equalization recoverer - System configuration,Text data,1
Gas system - Purifier - Operation monitoring,Binary status data,11
Gas system - Purifier - Operation monitoring,Continuous time-series data,8
Gas system - Purifier - Operation monitoring,Text data,1
Furnace top system - Dust recovery tank - Operation monitoring,Binary status data,11
Furnace top system - Dust recovery tank - Operation monitoring,Continuous time-series data,3
Furnace top system - Dust recovery tank - Operation monitoring,Text data,1
Furnace top system - Ash discharge valve group - Mode control,Binary status data,5
Furnace top system - Ash discharge valve group - Mode control,Text data,1
Tapping system - Dust collector - System configuration,Constraint data,32
Tapping system - Dust collector - System configuration,Text data,1
Tapping system - Dust collector - Operation monitoring,Discrete time-series data,32
Tapping system - Dust collector - Operation monitoring,Text data,1
Blast supply system - Tuyere equipment - Operation monitoring,Binary status data,2
Blast supply system - Tuyere equipment - Operation monitoring,Discrete time-series data,2
